code,count,hex,rgb
A1,9,#FAF4C8,"250,244,200"
A2,15,#FFFFD5,"255,255,213"
A3,1,#FEFF8B,"254,255,139"
A7,3,#FE8B4C,"254,139,76"
A9,1,#FF995B,"255,153,91"
A10,5,#F77C31,"247,124,49"
A11,2,#FFDD99,"255,221,153"
A12,2,#FE9F72,"254,159,114"
A13,1,#FFC365,"255,195,101"
A14,1,#FD543D,"253,84,61"
A24,2,#F7F8A2,"247,248,162"
A26,1,#FFC830,"255,200,48"
B23,1,#303A21,"48,58,33"
C2,5,#A9F9FC,"169,249,252"
C4,81,#41CCFF,"65,204,255"
C5,136,#01ACEB,"1,172,235"
C6,39,#50AAF0,"80,170,240"
C7,12,#3677D2,"54,119,210"
C8,9,#0F54C0,"15,84,192"
C9,433,#324BCA,"50,75,202"
C11,73,#28DDDE,"40,221,222"
C12,43,#1C334D,"28,51,77"
C13,12,#CDE8FF,"205,232,255"
C14,17,#D5FDFF,"213,253,255"
C16,1,#1557A8,"21,87,168"
C17,58,#04D1F6,"4,209,246"
C18,81,#1D3344,"29,51,68"
C21,1,#BEDDFF,"190,221,255"
C23,1,#C8E2FF,"200,226,255"
C24,1,#7CC4FF,"124,196,255"
C27,3,#D3DFFA,"211,223,250"
C28,27,#BBCFED,"187,207,237"
D4,18,#182A84,"24,42,132"
D9,1,#D5B9F8,"213,185,248"
D10,7,#361851,"54,24,81"
D11,22,#B9BAE1,"185,186,225"
D15,36,#2F1F90,"47,31,144"
D16,16,#E3E1EE,"227,225,238"
D17,1,#C4D4F6,"196,212,246"
D22,1,#333A95,"51,58,149"
E2,8,#FEC0DF,"254,192,223"
E3,34,#FFB7E7,"255,183,231"
E5,1,#F551A2,"245,81,162"
E8,18,#FFDBE9,"255,219,233"
E9,7,#E970CC,"233,112,204"
E12,16,#F78FC3,"247,143,195"
E14,1,#FFD1BA,"255,209,186"
E16,1,#FFF3EB,"255,243,235"
E17,24,#FFE2EA,"255,226,234"
E18,1,#FFC7DB,"255,199,219"
F1,3,#FD957B,"253,149,123"
F6,1,#943630,"148,54,48"
F11,5,#5A2121,"90,33,33"
F16,2,#FEC2A6,"254,194,166"
F17,1,#E69C79,"230,156,121"
F23,3,#F67E66,"246,126,102"
G1,1,#FFE2CE,"255,226,206"
G3,1,#F4C3A5,"244,195,165"
G6,2,#E99C17,"233,156,23"
G12,3,#FFC890,"255,200,144"
G15,5,#FCF9E0,"252,249,224"
G16,2,#F2D9BA,"242,217,186"
G17,2,#78524B,"120,82,75"
G18,17,#FFE4CC,"255,228,204"
H1,4,#FDFBFF,"253,251,255"
H2,6477,#FEFFFF,"254,255,255"
H3,1,#B6B1BA,"182,177,186"
H5,439,#48464E,"72,70,78"
H6,685,#2F2B2F,"47,43,47"
H7,819,#000000,"0,0,0"
H9,2,#EDEDED,"237,237,237"
H13,69,#F5ECD2,"245,236,210"
H14,1,#CFD7D3,"207,215,211"
H16,125,#1D1414,"29,20,20"
H18,12,#FFFDF0,"255,253,240"
H21,22,#FFFBE1,"255,251,225"
H22,1,#CACAD4,"202,202,212"
M3,4,#697D80,"105,125,128"
M15,1,#757D78,"117,125,120"
