       1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   33   34   35   36   37   38   39   40   41   42   43   44   45   46   47   48   49   50   51   52   53   54   55   56   57   58   59   60   61   62   63   64   65   66   67   68   69   70   71   72   73   74   75   76   77   78   79   80   81   82   83   84   85   86   87   88   89   90   91   92   93   94   95   96   97   98   99  100
  1   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
  2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
  3   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
  4   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H7   H7   H7  C12  C12  C12  C12  C12  C12  C12  C12  C12  C12  C12  C12   H7   H7   H7   H7   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
  5   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H7   H7  C12  C12  C12  C12  C12  C12  C12  C12   H7   H7   H7   H7  C12  C12  C12  C12  C12  C12  C12   H7   H7   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
  6   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H6  C12  C12  H16   H7  C12  C12  C12  H16   H6   H6   H7   D9  D26   D8  D23   H7   H7   H7  C12  C12  C12  C12  C12  C12   H7   H7   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
  7   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H7   H7   H7   H7   D9   H7   H7  C12  C12  C18  C12   H7  D26   H7   H7   H7   D6   D2   D6   H7   H7  C12  C12  C12  C12  C12  C12   H7   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
  8   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2  M15   H7   H7  D24   D2  M11   D2   D6   H7  C12  C12  C12   H7   D8   H7  D10  D10  D10  C29   D2  C29   D6  D24   H7  C12  C12  C12  C12  C12  C12   H7   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
  9   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H7  C29   H5  C29  D22  D10  C12   D2   H7  C12  C12  C18   H7  D23   H7  D10  D10  D10  D10   H2  D10   D2  D22   D2  C18  C12  C12  C12  C12  C12  C12   H7   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
 10   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H7  C29   D6   H5   H2  C29  C29  D10   D9   H7  C12   H7   H7   H7  D26   H7  D10  D10  D10  D10  D10  D10   H1   E8  C29  D24   H7  C12  C12  C12  C12  C12  C12   H7   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
