code,count,hex,rgb
A1,2,#FAF4C8,"250,244,200"
A23,1,#E6C9B7,"230,201,183"
C6,1,#50AAF0,"80,170,240"
C12,95,#1C334D,"28,51,77"
C18,15,#1D3344,"29,51,68"
C20,4,#176DAF,"23,109,175"
C29,25,#34488E,"52,72,142"
D1,1,#AEB4F2,"174,180,242"
D2,6,#858EDD,"133,142,221"
D6,2,#AC7BDE,"172,123,222"
D7,2,#8854B3,"136,84,179"
D9,1,#D5B9F8,"213,185,248"
D10,45,#361851,"54,24,81"
D22,1,#333A95,"51,58,149"
D24,2,#7786E5,"119,134,229"
E16,1,#FFF3EB,"255,243,235"
E23,4,#937A8D,"147,122,141"
G7,1,#9D5B3E,"157,91,62"
G9,1,#E6B483,"230,180,131"
G12,1,#FFC890,"255,200,144"
G15,1,#FCF9E0,"252,249,224"
G17,1,#78524B,"120,82,75"
G18,1,#FFE4CC,"255,228,204"
H1,53,#FDFBFF,"253,251,255"
H2,1578,#FEFFFF,"254,255,255"
H3,2,#B6B1BA,"182,177,186"
H4,10,#89858C,"137,133,140"
H5,22,#48464E,"72,70,78"
H6,52,#2F2B2F,"47,43,47"
H7,657,#000000,"0,0,0"
H9,28,#EDEDED,"237,237,237"
H11,1,#CECDD5,"206,205,213"
H12,3,#FFF5ED,"255,245,237"
H13,1,#F5ECD2,"245,236,210"
H16,43,#1D1414,"29,20,20"
H18,11,#FFFDF0,"255,253,240"
H19,2,#F6EFE2,"246,239,226"
H20,4,#949FA3,"148,159,163"
H23,6,#9A9D94,"154,157,148"
M1,1,#BCC6B8,"188,198,184"
M3,1,#697D80,"105,125,128"
M5,1,#D0CCAA,"208,204,170"
M7,1,#B4A497,"180,164,151"
M11,3,#9F7594,"159,117,148"
M15,10,#757D78,"117,125,120"
