       1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32   33   34   35   36   37   38   39   40   41   42   43   44   45   46   47   48   49   50   51   52   53   54   55   56   57   58   59   60   61   62   63   64
  1   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
  2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H7   H7   H7   H7   H7   H7   H7  H23   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
  3   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H7   H7  C12  C12  C12  C18   H6  C12  C12  C12   H7   H7   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
  4   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H7   H7   H7  C12  C12  C12   H7   D9   D9   H5   H7   H6  C12  C12  C12   H7   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
  5   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H7   H7  C12   D9   H7  C12  C18  H16  C12  C12  D10   D2   D6   H7  C18  C12  C12   H7  H23   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
  6   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H7   D7   D2  C29   D2   H7  C12   H7  D26   H7  D10  D10   H2  D10   D2   D2  C12  C12  C12  C12  M15   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
  7   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H7  D10  D10   H2  D10   D6   H7   H7   H7   D6  C29  D10  D10  D10  D19   H2  D10  H16  C12  C12  C12  C12  C18   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
  8   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2  C12  D10  D10   D2  E23   H7  H16  C12  C12   H6   H7  C12   D6   H4  D10   D7  D10   H7  C12  C12  C12  C12   H7   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
  9   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H7   H5   H7   D2   H7   H6  C12  C12  C12  C12  C12  C12  C12   H7   H7   D6   H6   D6   H6   H7  H16  C12  C12  C12   H7   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
 10   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H7   D6   D9   H7  C12  C12  C12  C12  C12  C12  C12  C12  C12  C12  C12   H7   H7   H6  C12  C12   H7  H16  C12  C12  C12   H5   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
 11   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H7   H7  H16  C12  C12  C12  C12  C12  C12  C12  C12  C12  C12  C12  C12  C12   H7   H7  C12  C12  C12   H7  H16  H16  H16   H7   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
 12   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H7   H7  C12  C18   H7   H7   H7   H7   H7   H7   H6  C12  C12  C12  C12  H16   H7   H7  H16  C12  C12  C12   H7  C12   H7   H7   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
 13   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H7   H6   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7  C12   H6   H7   H7   H7   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
 14   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7  C20   H5   H7   H7   H7   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
 15   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H7   H7   H7   H7   H7   H7   H7  H16   H7   H5   H5   H7   H7   H5   H6   H7   H5   H7   H5   H5   H7   H7  C12  C20   H6   H7   H7   H4   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
 16   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H7   H7   H7   H7  H16   H5   H6   H6   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7   H7  C29   H7   D1   H7  H16   H7   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2   H2
